,Row.names,Normal1,Normal2,Normal3,NPC1,NPC2,NPC3,NPC4,NPC5,NPC6,NPC7,NPC8,NPC9,NPC10,NPC11,NPC12,NPC13,NPC14,NPC15,NPC16,NPC17,NPC18,NPC19,NPC20,NPC21,NPC22,NPC23,NPC24,NPC25,array_ID,Gene_symbol,gene_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol,mouse_symbol
1953,CEP83,41.0646,34.9193,32.0277,50.6934,81.179,23.466,37.1334,43.5425,17.0846,82.2856,62.5321,36.0971,67.2255,53.9926,50.5294,25.144,31.671,40.0004,65.2742,35.5169,46.1392,28.0235,42.8979,60.5222,56.0978,80.6047,92.273,45.3183,219644_at,CEP83,51134,14.20590533,48.68771071,1.215625982,0.234696671,0.794317306,-4.563770491,CEP83,Cep83
1954,CEP85,60.2249,111.213,84.9072,98.0135,84.0037,79.3857,61.8736,100.365,78.8741,127.442,103.082,89.8792,90.7312,83.3547,97.6423,93.1651,65.7172,62.1196,132.21,97.9885,111.817,83.4748,56.0856,97.2872,149.821,99.5807,110.56,64.1514,219611_s_at,CEP85,64793,7.296637333,91.96322143,0.52498845,0.603894901,0.931213473,-4.665897614,CEP85,Cep85
1955,CEP97,28.6606,40.8106,3.70416,9.36271,17.4976,16.2558,19.1872,10.2242,3.92363,30.6763,43.8357,31.8582,5.01748,42.7876,5.7575,20.382,21.94,4.94027,24.8907,4.39305,32.4547,43.4688,11.1324,25.066,4.92057,24.5089,33.9394,16.6777,219886_at,CEP97,79598,-4.187850267,20.65263464,-0.506965984,0.616312689,0.934218121,-4.667542583,CEP97,Cep97
1956,CEPT1,98.7123,78.1265,334.05,89.1681,38.3735,99.5538,204.767,64.7362,52.1197,86.2812,370.273,141.551,81.2119,82.0811,83.3886,273.894,168.521,114.076,88.5712,199.93,169.462,234.288,153.556,74.1731,70.8042,100.733,40.9346,55.0512,219375_at,CEPT1,10390,-44.79629067,130.2995786,-0.85703658,0.399001519,0.881962631,-4.625951729,CEPT1,Cept1
1957,CER1,66.6657,67.4838,63.639,68.8876,53.7909,46.6429,44.4977,51.3089,64.5493,63.5052,65.1549,43.8118,50.1356,57.5515,51.2637,61.3518,77.8106,42.5343,89.8204,84.3223,59.0459,56.0116,64.2667,71.1589,62.6105,79.0635,89.2506,55.5033,221378_at,CER1,9350,-3.775484,62.55853214,-0.467530789,0.643888483,0.938571172,-4.670948088,CER1,Cer1
1958,CERK,260.216,136.194,176.476,156.065,124.487,181.727,238.982,208.708,228.465,146.139,186.08,203.79,141.264,187.947,220.128,188.282,195.028,159.851,256.175,158.656,154.606,235.2,153.981,190.061,150.125,185.028,111.695,109.899,218421_at,CERK,64781,-12.06724,180.1876786,-0.481012844,0.634399817,0.936890147,-4.669813846,CERK,Cerk
1959,CERS1,5.54533,7.87068,2.93624,3.0913,5.03118,3.38466,1.70282,3.41911,5.23049,3.31939,3.27985,3.76105,3.10878,5.31673,3.05295,2.69128,5.11378,14.6903,5.245,5.26455,3.82605,4.09452,13.1436,5.56482,8.20694,5.2251,3.80452,5.55625,206397_x_at,CERS1,10715,-0.4057492,5.088473929,-0.170813791,0.865649504,0.979952342,-4.687862617,CERS1,Cers1
1960,CERS2,247.797,277.612,226.533,443.851,314.268,371.42,278.883,226.709,279.568,330.49,361.255,298.219,362.194,132.275,277.347,297.716,353.321,234.727,193.288,213.822,296.855,278.263,207.703,254.062,256.725,161,181.593,253.705,222212_s_at,CERS2,29956,23.72302667,271.8286071,0.56067628,0.579662279,0.927969676,-4.662477341,CERS2,Cers2
1961,CERS4,16.964,24.5085,28.387,44.0954,40.1646,37.2395,31.4063,25.5838,2.5796,33.5381,33.3615,15.3826,51.3865,24.2229,25.5051,10.9276,46.6671,27.0669,44.3558,30.0069,5.6556,25.3781,34.9366,7.1574,4.58264,34.1362,50.1576,4.0749,218922_s_at,CERS4,79603,4.2962696,27.122455,0.481379225,0.634142832,0.936890147,-4.669782586,CERS4,Cers4
1962,CERS6,122.055,135.164,135.402,295.29,231.399,136.469,126.731,136.378,159.816,332.781,154.921,257.317,328.659,453.799,104.479,141.694,186.574,249.333,315.629,170.931,141.384,183.374,202.73,224.57,192.797,309.155,226.513,111.24,212442_s_at,CERS6,253782,84.08485333,205.9494286,1.691221743,0.102358958,0.659582838,-4.455717419,CERS6,Cers6
1964,CES2,194.597,293.725,203.279,205.065,199.168,235.868,229.883,138.968,143.737,239.373,151.756,148.832,146.297,148.135,98.6039,140.801,321.287,175.262,178.148,249.479,179.316,138.171,163.068,116.271,215.107,232.31,108.915,253.258,213509_x_at,CES2,8824,-48.25051067,187.4528536,-1.479374972,0.150665489,0.721764868,-4.507035746,CES2,Ces2h
1965,CES3,32.4036,124.953,34.08,78.7159,53.772,38.197,59.0665,57.3806,63.7948,60.1204,74.8839,54.7483,58.2625,40.2095,78.6904,56.821,78.0852,31.5607,69.957,85.1564,83.5974,45.2739,53.0759,80.1922,58.7993,35.3931,106.861,67.6809,220335_x_at,CES3,23491,-1.000368,62.91901429,-0.073220527,0.94217279,0.993648666,-4.690004851,CES3,Ces3b
1966,CETN1,34.7123,80.6187,44.6349,40.2487,38.4673,25.279,45.2311,48.1197,48.7037,52.5937,68.8759,52.5469,39.2188,16.1653,56.8941,58.096,63.0683,42.3718,20.888,70.5028,54.9913,6.24487,44.6338,56.3488,42.2737,64.9236,24.67,48.7431,207209_at,CETN1,1068,-8.117955867,46.07379179,-0.779292225,0.442615162,0.893894371,-4.636903235,CETN1,Cetn1
1967,CETN2,505.607,236.886,143.417,180.173,182.225,224.779,266.585,170.975,52.0607,139.998,458.109,167.641,231.823,118.125,153.978,158.247,138.192,251.414,193.121,103.223,415.848,344.684,291.065,266.138,58.6259,167.323,323.466,294.848,209194_at,CETN2,1069,-81.19666933,222.8063071,-1.220598847,0.232837938,0.794317306,-4.562781661,CETN2,Cetn2
1968,CETN3,127.033,56.548,94.5893,126.51,105.762,83.24,146.273,85.2209,41.9197,127.927,141.692,115.517,98.2155,94.272,113.161,115.508,102.171,110.896,137.913,111.921,166.13,139.835,143.381,155.607,89.4013,79.5102,165.192,58.5058,209662_at,CETN3,1070,21.50382267,111.923275,1.116502936,0.274088513,0.812551725,-4.582787996,CETN3,Cetn3
1970,CFAP20,237.4,74.6503,73.117,163.179,103.32,185.953,167.811,101.615,100.277,94.8014,116.289,144.154,150.228,114.191,168.458,87.7389,46.3797,106.886,97.9921,36.9974,110.011,99.7689,148.382,118.062,149.357,121.714,215.535,217.634,217957_at,CFAP20,29105,-1.719724,126.8536321,-0.056896819,0.955048237,0.994065247,-4.690196071,CFAP20,Cfap20
1971,CFAP43,1.48182,1.43311,0.587244,0.659157,0.64942,0.342675,0.423185,0.598837,0.282432,0.67363,1.04729,0.521694,0.498807,0.556813,0.286824,0.684755,1.06703,0.536188,1.75899,0.546014,1.56258,1.0443,0.399228,0.48697,0.446805,0.51355,0.471912,0.422607,220919_s_at,CFAP43,80217,-0.508123613,0.713709536,-0.31859471,0.752496302,0.958395763,-4.68137821,CFAP43,Cfap43
1972,CFAP44,35.5413,38.7557,20.8256,29.1894,44.1399,15.9992,20.0838,19.7773,8.32824,31.7467,63.211,33.0636,27.7023,47.2735,34.7246,21.4768,17.3013,14.2342,33.1072,34.3328,62.9121,20.5721,22.0696,29.1541,20.9451,30.1082,20.8686,20.6659,221103_s_at,CFAP44,55779,-2.788031733,29.21821929,-0.339955353,0.736532431,0.955888396,-4.680120698,CFAP44,Cfap44
